ID_REGISTRO,OPERADOR,SONDA,TECN,AMBITO,CLASE,PLAN,VEL_CONT_B,VEL_CONT_S,CAT,LAT,VB,VS,JIT,PP,FECHA
67,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.47,4.92,1.51,0.17,0,2025-01-03 13:20:01
68,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.94,4.93,1.51,0.38,0,2025-01-03 13:40:01
69,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.16,4.93,1.52,0.43,0,2025-01-03 14:00:02
70,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.61,4.93,1.52,0.17,0,2025-01-03 14:20:02
71,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.88,4.92,1.51,0.43,0,2025-01-03 14:40:02
72,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.64,4.93,1.52,0.18,0,2025-01-03 15:00:01
73,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.89,4.92,1.51,0.30,0,2025-01-03 15:20:02
74,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.69,4.93,1.51,0.21,0,2025-01-03 15:40:01
75,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.47,4.92,1.52,0.31,0,2025-01-03 16:00:02
76,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.21,4.93,1.51,0.34,0,2025-01-03 16:20:02
77,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.63,4.92,1.51,0.38,0,2025-01-03 16:40:02
78,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.28,4.93,1.51,0.43,0,2025-01-03 17:00:02
79,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.79,4.93,1.52,0.17,0,2025-01-03 17:20:01
80,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.71,4.92,1.52,0.24,0,2025-01-03 17:40:01
81,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.41,4.92,1.52,0.33,0,2025-01-03 18:00:02
82,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.46,4.92,1.51,0.23,0,2025-01-03 18:20:02
83,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.73,4.93,1.52,0.23,0,2025-01-03 18:40:02
84,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.36,4.92,1.51,0.17,0,2025-01-03 19:00:01
85,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.31,4.93,1.52,0.40,0,2025-01-03 19:20:01
86,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.67,4.93,1.52,0.23,0,2025-01-03 19:40:02
87,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.42,4.93,1.51,0.41,0,2025-01-03 20:00:02
88,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.88,4.93,1.51,0.24,0,2025-01-03 20:20:01
89,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.77,4.93,1.52,0.27,0,2025-01-03 20:40:01
90,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.18,4.92,1.52,0.21,0,2025-01-03 21:00:02
91,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.15,4.93,1.51,0.44,0,2025-01-03 21:20:01
92,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.15,4.92,1.51,0.21,0,2025-01-03 21:40:01
93,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.52,4.92,1.51,0.28,0,2025-01-03 22:00:01
94,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.42,4.93,1.52,0.21,0,2025-01-04 12:00:02
95,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.64,4.93,1.52,0.25,0,2025-01-04 12:20:01
96,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.79,4.92,1.51,0.22,0,2025-01-04 12:40:02
97,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.48,4.92,1.51,0.25,0,2025-01-04 13:00:01
98,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.31,4.92,1.51,0.40,0,2025-01-04 13:20:01
99,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.16,4.92,1.52,0.34,0,2025-01-04 13:40:01
100,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.17,4.93,1.51,0.32,0,2025-01-04 14:00:01
101,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.79,4.93,1.52,0.44,0,2025-01-04 14:20:02
102,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.42,4.93,1.52,0.33,0,2025-01-04 14:40:02
103,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.79,4.93,1.51,0.24,0,2025-01-04 15:00:01
104,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.22,4.93,1.52,0.35,0,2025-01-04 15:20:02
105,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.29,4.93,1.51,0.24,0,2025-01-04 15:40:01
106,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.92,4.92,1.52,0.37,0,2025-01-04 16:00:01
107,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.74,4.93,1.52,0.26,0,2025-01-04 16:20:01
108,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.63,4.92,1.52,0.41,0,2025-01-04 16:40:02
109,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.79,4.93,1.52,0.36,0,2025-01-04 17:00:01
110,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.94,4.93,1.51,0.26,0,2025-01-04 17:20:01
111,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.85,4.92,1.51,0.40,0,2025-01-04 17:40:01
112,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.43,4.93,1.51,0.31,0,2025-01-04 18:00:01
113,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.54,4.93,1.52,0.43,0,2025-01-04 18:20:01
114,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.43,4.93,1.52,0.29,0,2025-01-04 18:40:02
115,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.16,4.93,1.51,0.24,0,2025-01-04 19:00:01
116,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.82,4.92,1.51,0.43,0,2025-01-04 19:20:01
117,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.35,4.93,1.52,0.26,0,2025-01-04 19:40:01
118,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.61,4.92,1.52,0.28,0,2025-01-04 20:00:02
119,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.74,4.93,1.51,0.40,0,2025-01-04 20:20:02
120,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.93,4.92,1.51,0.36,0,2025-01-04 20:40:02
121,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.50,4.93,1.51,0.26,0,2025-01-04 21:00:02
122,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.15,4.92,1.51,0.35,0,2025-01-04 21:20:01
123,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.71,4.93,1.52,0.20,0,2025-01-04 21:40:02
124,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.72,4.92,1.51,0.45,0,2025-01-04 22:00:01
125,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.55,4.93,1.51,0.39,0,2025-01-05 12:00:02
126,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.26,4.92,1.52,0.39,0,2025-01-05 12:20:02
127,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.27,4.93,1.51,0.29,0,2025-01-05 12:40:01
128,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.43,4.93,1.51,0.29,0,2025-01-05 13:00:02
129,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.83,4.92,1.52,0.35,0,2025-01-05 13:20:01
130,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.53,4.92,1.51,0.27,0,2025-01-05 13:40:01
131,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.71,4.93,1.51,0.29,0,2025-01-05 14:00:02
132,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.89,4.93,1.51,0.36,0,2025-01-05 14:20:01
133,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.54,4.93,1.51,0.19,0,2025-01-05 14:40:01
134,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.64,4.93,1.51,0.16,0,2025-01-05 15:00:02
135,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.40,4.92,1.52,0.30,0,2025-01-05 15:20:01
136,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.45,4.93,1.52,0.33,0,2025-01-05 15:40:01
137,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.84,4.93,1.52,0.41,0,2025-01-05 16:00:02
138,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.50,4.92,1.51,0.16,0,2025-01-05 16:20:01
139,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.50,4.93,1.52,0.21,0,2025-01-05 16:40:02
140,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.55,4.93,1.52,0.28,0,2025-01-05 17:00:01
141,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.41,4.93,1.52,0.42,0,2025-01-05 17:20:01
142,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.45,4.93,1.52,0.29,0,2025-01-05 17:40:01
143,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.74,4.92,1.52,0.36,0,2025-01-05 18:00:02
144,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.20,4.93,1.52,0.19,0,2025-01-05 18:20:01
145,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.54,4.93,1.52,0.37,0,2025-01-05 18:40:01
146,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.62,4.93,1.51,0.36,0,2025-01-05 19:00:02
147,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.72,4.93,1.51,0.26,0,2025-01-05 19:20:01
148,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.62,4.93,1.52,0.19,0,2025-01-05 19:40:02
149,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.17,4.93,1.52,0.40,0,2025-01-05 20:00:02
150,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.84,4.92,1.52,0.37,0,2025-01-05 20:20:02
151,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.23,4.93,1.51,0.23,0,2025-01-05 20:40:01
152,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.36,4.93,1.52,0.42,0,2025-01-05 21:00:02
153,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.59,4.93,1.51,0.21,0,2025-01-05 21:20:01
154,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.51,4.92,1.51,0.43,0,2025-01-05 21:40:01
155,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.67,4.93,1.51,0.17,0,2025-01-05 22:00:01
156,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.32,4.93,1.52,0.30,0,2025-01-06 12:00:01
157,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.84,4.93,1.52,0.37,0,2025-01-06 12:20:01
158,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.85,4.93,1.52,0.42,0,2025-01-06 12:40:02
159,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.86,4.93,1.51,0.36,0,2025-01-06 13:00:02
160,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.60,4.93,1.51,0.40,0,2025-01-06 13:20:02
161,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.39,4.93,1.52,0.32,0,2025-01-06 13:40:01
162,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.28,4.93,1.51,0.30,0,2025-01-06 14:00:01
163,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.45,4.93,1.51,0.31,0,2025-01-06 14:20:02
