ID_REGISTRO,OPERADOR,SONDA,TECN,AMBITO,CLASE,PLAN,VEL_CONT_B,VEL_CONT_S,CAT,LAT,VB,VS,JIT,PP,FECHA
93,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.53,4.93,1.52,0.34,0,2025-07-03 22:00:01
94,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.41,4.93,1.52,0.34,0,2025-07-04 12:00:01
95,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.36,4.93,1.52,0.32,0,2025-07-04 12:20:01
96,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.55,4.93,1.52,0.31,0,2025-07-04 12:40:01
97,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.52,4.93,1.52,0.28,0,2025-07-04 13:00:01
98,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.57,4.93,1.52,0.17,0,2025-07-04 13:20:01
99,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.57,4.93,1.52,0.37,0,2025-07-04 13:40:01
100,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.62,4.93,1.52,2.18,0,2025-07-04 14:00:01
101,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.52,4.93,1.52,0.31,0,2025-07-04 14:20:02
102,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.53,4.93,1.52,0.25,0,2025-07-04 14:40:01
103,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.58,4.93,1.52,0.32,0,2025-07-04 15:00:01
104,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.99,4.93,1.52,0.38,0,2025-07-04 15:20:01
105,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.59,4.93,1.52,0.26,0,2025-07-04 15:40:01
106,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,34.58,3.94,1.45,0.20,0,2025-07-04 16:00:01
107,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.50,4.93,1.52,0.39,0,2025-07-04 16:20:01
108,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.59,4.93,1.52,0.37,0,2025-07-04 16:40:01
109,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.82,4.93,1.52,0.27,0,2025-07-04 17:00:01
110,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.53,4.93,1.52,0.25,0,2025-07-04 17:20:01
111,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.46,4.93,1.52,0.23,0,2025-07-04 17:40:01
112,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.47,4.93,1.51,0.26,0,2025-07-04 18:00:01
113,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.53,4.93,1.52,0.25,0,2025-07-04 18:20:01
114,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.48,4.93,1.52,0.30,0,2025-07-04 18:40:01
